"company","year","debt"
"경남제약헬스케어","실적2018",117
"경남제약헬스케어","실적2019",28
"경남제약헬스케어","실적2020",NA
"경농","실적2017",74
"경농","실적2018",77
"경농","실적2019",83
"경농","실적2020",NA
"경동나비엔","실적2017",96
"경동나비엔","실적2018",108
"경동나비엔","실적2019",102
"경동나비엔","실적2020",NA
"경동도시가스","실적2017",141
"경동도시가스","실적2018",142
"경동도시가스","실적2019",120
"경동도시가스","실적2020",NA
"경동인베스트","실적2017",49
"경동인베스트","실적2018",47
"경동인베스트","실적2019",46
"경동인베스트","실적2020",NA
"경동제약","실적2017",14
"경동제약","실적2018",18
"경동제약","실적2019",22
"경동제약","실적2020",NA
"경방","실적2017",82
"경방","실적2018",83
"경방","실적2019",84
"경방","실적2020",NA
"경보제약","실적2017",44
"경보제약","실적2018",48
"경보제약","실적2019",59
"경보제약","실적2020",NA
"경인양행","실적2017",69
"경인양행","실적2018",84
"경인양행","실적2019",98
"경인양행","실적2020",NA
"경인전자","실적2017",6
"경인전자","실적2018",5
"경인전자","실적2019",4
"경인전자","실적2020",NA
"경창산업","실적2017",263
"경창산업","실적2018",290
"경창산업","실적2019",511
"경창산업","실적2020",NA
"계룡건설산업","실적2017",314
"계룡건설산업","실적2018",292
"계룡건설산업","실적2019",299
"계룡건설산업","실적2020",NA
"계양전기","실적2017",39
"계양전기","실적2018",45
"계양전기","실적2019",51
"계양전기","실적2020",NA
"고려산업","실적2017",106
"고려산업","실적2018",131
"고려산업","실적2019",115
"고려산업","실적2020",NA
"고려시멘트","실적2017",49
"고려시멘트","실적2018",47
"고려시멘트","실적2019",43
"고려시멘트","실적2020",NA
"고려신용정보","실적2017",56
"고려신용정보","실적2018",72
"고려신용정보","실적2019",116
"고려신용정보","실적2020",NA
"고려아연","실적2017",15
"고려아연","실적2018",13
"고려아연","실적2019",14
"고려아연","실적2020",NA
"고려제강","실적2017",64
"고려제강","실적2018",63
"고려제강","실적2019",58
"고려제강","실적2020",NA
"고려제약","실적2017",17
"고려제약","실적2018",16
"고려제약","실적2019",16
"고려제약","실적2020",NA
"고바이오랩","실적2017",NA
"고바이오랩","실적2018",-178
"고바이오랩","실적2019",-165
"고바이오랩","실적2020",NA
"고영","실적2017",27
"고영","실적2018",23
"고영","실적2019",25
"고영","실적2020",NA
"골드퍼시픽","실적2017",395
"골드퍼시픽","실적2018",87
"골드퍼시픽","실적2019",243
"골드퍼시픽","실적2020",NA
"골든센츄리","실적2017",23
"골든센츄리","실적2018",11
"골든센츄리","실적2019",7
"골든센츄리","실적2020",NA
"골프존","실적2017",33
"골프존","실적2018",30
"골프존","실적2019",56
"골프존","실적2020",NA
"골프존뉴딘홀딩스","실적2017",51
"골프존뉴딘홀딩스","실적2018",59
"골프존뉴딘홀딩스","실적2019",73
"골프존뉴딘홀딩스","실적2020",NA
"광동제약","실적2017",73
"광동제약","실적2018",69
"광동제약","실적2019",77
"광동제약","실적2020",NA
"광림","실적2017",93
"광림","실적2018",108
"광림","실적2019",178
"광림","실적2020",NA
"광명전기","실적2017",58
"광명전기","실적2018",53
"광명전기","실적2019",48
"광명전기","실적2020",NA
"광전자","실적2017",15
"광전자","실적2018",16
"광전자","실적2019",17
"광전자","실적2020",NA
"광주신세계","실적2017",13
"광주신세계","실적2018",12
"광주신세계","실적2019",13
